car name,price,engine_capacity,cylinder,horse_power,top_speed,seats,brand,country
Alfa Romeo Giulietta 2021 Super,"BHD 12,500",1.4,4,170,220,5 Seater,alfa-romeo,bahrain
Audi Q2 2021 35 TFSI Design (150 HP),"BHD 12,000",1.4,4,150,208,5 Seater,audi,bahrain
Ford Explorer 2021 3.3L Limited V6 Hybrid (AWD),TBD,3.3,6,318,237,7 Seater,ford,bahrain
Audi Q3 2021 30 TFSI (150 HP),"BHD 13,000",1.4,4,150,204,5 Seater,audi,bahrain
Kia Cadenza 2021 3.3L GDi Top,DISCONTINUED,3.3,6,284,235,5 Seater,kia,bahrain
Subaru WRX 2021 2.0T Standard,"BHD 12,500",2.0,4,265,240,5 Seater,subaru,bahrain
Ford Taurus 2021 3.5L V6 SEL,"BHD 13,000",3.5,N/A,288,200,5 Seater,ford,bahrain
Toyota Land Cruiser Pick Up 2021 4.0L Single Cab,"BHD 12,500",4.0,6,228,180,3 Seater,toyota,bahrain
Audi A1 2021 Ambition 1.4L (185 HP),"BHD 13,100",1.4,4,185,227,4 Seater,audi,bahrain
Toyota Land Cruiser Pick Up 2021 4.0L Double Cab,"BHD 12,500",4.0,6,228,180,6 Seater,toyota,bahrain
Ford Edge 2021 2.0L EcoBoost SEL (AWD),Atlas Blue,2.0,4,250,200,5 Seater,ford,bahrain
Volkswagen Tiguan 2021 2.0L SEL,Silk Blue Metallic,2.0,4,180,208,5 Seater,volkswagen,bahrain
BMW 1 Series 2021 116i,"BHD 12,500",1.5,3,109,195,5 Seater,bmw,bahrain
Toyota Land Cruiser Pick Up 2021 4.0L Hard Top,"BHD 12,500",4.0,6,228,180,5 Seater,toyota,bahrain
Mazda CX-5 2021 2.5L Luxury (AWD),"BHD 12,900",2.5,4,187,192,5 Seater,mazda,bahrain
Mazda 6 2021 2.5L Luxury,"BHD 13,000",2.5,4,188,220,5 Seater,mazda,bahrain
Alfa Romeo Giulietta 2021 Veloce,"BHD 13,500",1.8,4,241,244,5 Seater,alfa-romeo,bahrain
Honda CR-V 2021 Touring (AWD),"BHD 11,600",2.4,N/A,184,200,5 Seater,honda,bahrain
Toyota Land Cruiser Prado 2021 2.7L GXR,"BHD 14,699",2.7,4,164,170,7 Seater,toyota,bahrain
Volkswagen Beetle 2021 2.0L SEL,DISCONTINUED,2.0,4,210,227,4 Seater,volkswagen,bahrain
Volkswagen Teramont 2021 3.6L Trendline (AWD),Following,3.6,6,276,190,7 Seater,volkswagen,bahrain
Nissan Maxima 2021 3.5L SV,"BHD 12,995",3.5,6,300,211,5 Seater,nissan,bahrain
Honda Accord 2021 2.0T Sport,Following,2.0,4,247,205,5 Seater,honda,bahrain
Audi Q3 2021 35 TFSI quattro (150 HP),"BHD 13,500",1.4,4,150,217,5 Seater,audi,bahrain
Toyota Hiace 2021 2.5L Commuter A/T,"BHD 13,500",2.5,4,102,3 Seater,24.1,toyota,bahrain
Kia Sorento 2021 2.5L Base Option (AWD),"BHD 11,500",2.5,4,191,200,7 Seater,kia,bahrain
Kia Sorento 2021 2.5L (FWD),"BHD 12,900",2.5,4,178,190,7 Seater,kia,bahrain
GMC Acadia 2021 3.6L SLE2 (FWD),Cayenne Red Metallic,3.6,6,310,210,7 Seater,gmc,bahrain
Maxus V80 18-Seater 2021 2.5L Passenger Van (M/T),"BHD 10,500",2.5,4,136,150,18 Seater,maxus,bahrain
Audi Q3 2021 30 TFSI Design (150 HP),"BHD 13,200",1.4,4,150,204,5 Seater,audi,bahrain
Kia Sorento 2021 2.5L (AWD),"BHD 15,000",2.5,4,178,190,7 Seater,kia,bahrain
Toyota Camry 2021 3.5L SE (298 HP),Blue Streak Metallic W/Midnight Black Metallic Roof,3.5,6,298,235,5 Seater,toyota,bahrain
BMW 3 Series 2021 318i,"BHD 13,900",1.5,4,136,210,5 Seater,bmw,bahrain
Mini Countryman 2021 Cooper,"BHD 14,500",1.5,3,136,200,5 Seater,mini,bahrain
Volkswagen Teramont 2021 2.0L Trendline (AWD),Following,2.0,4,235,190,7 Seater,volkswagen,bahrain
Audi Q3 2021 35 TFSI Design quattro (150 HP),"BHD 14,000",1.4,4,150,217,5 Seater,audi,bahrain
BMW 1 Series 2021 118i,"BHD 14,000",1.5,4,140,213,5 Seater,bmw,bahrain
Toyota FJ Cruiser 2021 4.0L GXR,"BHD 14,280",4.0,6,270,180,5 Seater,toyota,bahrain
Audi Q3 2021 40 TFSI Design quattro (220 HP),"BHD 14,500",2.0,4,220,233,5 Seater,audi,bahrain
Ford Escape 2021 2.0L EcoBoost SE (AWD),Carbonized Gray,2.0,4,240,200,5 Seater,ford,bahrain
Ford Expedition 2021 3.5L EcoBoost XL,"BHD 15,995",3.5,N/A,385,185,8 Seater,ford,bahrain
Ford Escape 2021 2.0L EcoBoost Titanium (AWD),TBD,2.0,N/A,240,200,5 Seater,ford,bahrain
Mazda CX-9 2021 2.5T Classic (4x2),"BHD 12,700",2.5,4,226,210,7 Seater,mazda,bahrain
Audi A4 2021 30 TFSI Basic (150 HP),"BHD 14,300",1.4,4,150,210,5 Seater,audi,bahrain
Honda Odyssey 2021 3.5L LX,Obsidian Blue Pearl,3.5,6,280,180,8 Seater,honda,bahrain
Toyota Fortuner 2021 4.0L VXR,"BHD 14,699",4.0,6,235,187,7 Seater,toyota,bahrain
Jeep Grand Cherokee 2021 3.6L Laredo 4x2,"BHD 12,999",3.6,6,290,190,5 Seater,jeep,bahrain
Ford Expedition 2021 3.5L EcoBoost XLT,"BHD 16,000",3.5,N/A,385,185,8 Seater,ford,bahrain
Mini Hatch 2021 5-Door Cooper,"BHD 13,400",1.5,3,136,207,5 Seater,mini,bahrain
Audi A4 2021 30 TFSI Design (150 HP),"BHD 15,700",1.4,4,150,210,5 Seater,audi,bahrain
Mercedes-Benz A-Class 2021 A 250,"BHD 15,200",2.0,N/A,224,250,5 Seater,mercedes-benz,bahrain
Dodge Charger 2021 3.6L GT,"BHD 12,900",3.6,6,300,210,5 Seater,dodge,bahrain
Lincoln MKC 2021 2.0T Premier,"BHD 14,000",2.0,4,253,5 Seater,7.3,lincoln,bahrain
BMW X1 2021 sDrive18i,"BHD 15,400",2.0,4,150,202,5 Seater,bmw,bahrain
Honda Odyssey 2021 3.5L EXL,Following,3.5,6,280,180,8 Seater,honda,bahrain
Ford Taurus 2021 3.5L V6 LTD,"BHD 15,000",3.5,6,288,200,5 Seater,ford,bahrain
Audi A4 2021 40 TFSI Basic (190 HP),"BHD 15,300",2.0,4,190,240,5 Seater,audi,bahrain
Ford Mustang 2021 2.3L EcoBoost Fastback A/T,"BHD 17,500",2.3,4,310,240,4 Seater,ford,bahrain
Infiniti Q50 2021 2.0T Premium,"BHD 14,900",2.0,4,208,245,5 Seater,infiniti,bahrain
Audi A4 2021 30 TFSI Sport (150 HP),"BHD 15,700",1.4,4,150,210,5 Seater,audi,bahrain
Dodge Charger 2021 3.6L GTS,"BHD 14,300",3.6,6,300,210,5 Seater,dodge,bahrain
Audi A3 Sportback 2021 S3 (286 HP) quattro,"BHD 15,600",2.0,4,286,250,5 Seater,audi,bahrain
Ford F-150 2021 5.0L V8 Crew Cab Lariat (Luxury+Chrome Pack),Smoked Quartz Metallic Tinted Clearcoat,5.0,N/A,360,160,5 Seater,ford,bahrain
Land Rover Discovery Sport 2021 2.0T S (AWD),"BHD 15,900",2.0,4,240,200,5 Seater,land-rover,bahrain
Mercedes-Benz C-Class 2021 C 180,"BHD 15,700",1.6,N/A,156,207,5 Seater,mercedes-benz,bahrain
Alfa Romeo Giulia 2021 Super,"BHD 18,000",2.0,4,330,5 Seater,6.5,alfa-romeo,bahrain
BMW 2 Series Active Tourer 2021 218i,"BHD 16,000",1.5,3,136,205,5 Seater,bmw,bahrain
Volkswagen Teramont 2021 3.6L Comfortline (AWD),Following,3.6,6,276,190,7 Seater,volkswagen,bahrain
Ford F-150 2021 3.3L V6 Crew Cab XL,Smoked Quartz Metallic Tinted Clearcoat,3.3,N/A,292,160,6 Seater,ford,bahrain
Honda Pilot 2021 3.5 EX-L (AWD),Modern Steel Metallic,3.5,N/A,280,175,8 Seater,honda,bahrain
Lexus IS 2021 200t Classic,"BHD 16,000",2.0,4,241,230,5 Seater,lexus,bahrain
Chrysler 300C 2021 3.6L V6 Limited,"BHD 13,300",3.6,N/A,292,210,5 Seater,chrysler,bahrain
Jaguar XE 2021 2.0T Pure (200 PS),"BHD 15,900",2.0,4,197,238,5 Seater,jaguar,bahrain
BMW 1 Series 2021 120i,"BHD 16,000",1.6,4,177,222,5 Seater,bmw,bahrain
Honda Pilot 2021 3.5 Touring (AWD),Bellanova White Pearl,3.5,N/A,280,175,8 Seater,honda,bahrain
Chrysler 300C 2021 3.6L V6 Luxury,"BHD 16,800",3.6,N/A,292,210,5 Seater,chrysler,bahrain
Mini Hatch 2021 3-Door Cooper S,"BHD 14,500",2.0,4,192,235,4 Seater,mini,bahrain
Ford F-150 2021 3.3L V6 XLT Sport R/C,Guard,3.3,N/A,292,160,6 Seater,ford,bahrain
Jaguar XE 2021 Base 2.0,"BHD 16,900",2.0,4,200,237,5 Seater,jaguar,bahrain
Subaru WRX 2021 2.5T STi Standard,"BHD 16,500",2.5,4,300,250,5 Seater,subaru,bahrain
Dodge Charger 2021 6.4L R/T Scatpack,"BHD 19,500",6.4,8,485,281,5 Seater,dodge,bahrain
Jaguar XE 2021 2.0 Prestige,"BHD 16,900",2.0,4,200,237,5 Seater,jaguar,bahrain
Jaguar XE 2021 2.0 Portfolio,"BHD 16,900",2.0,4,200,237,5 Seater,jaguar,bahrain
Mercedes-Benz CLA-Class 2021 CLA 250,"BHD 16,200",2.0,N/A,211,240,5 Seater,mercedes-benz,bahrain
Mercedes-Benz GLA 2021 250 4MATIC,"BHD 16,400",2.0,4,211,230,5 Seater,mercedes-benz,bahrain
Audi A5 Sportback 2021 1.8L (170 HP),"BHD 16,600",1.8,4,170,220,5 Seater,audi,bahrain
GMC Acadia 2021 3.6L SLT1 (FWD),"BHD 16,800",3.6,6,310,210,7 Seater,gmc,bahrain
Audi A4 2021 40 TFSI Sport (190 HP),"BHD 16,300",2.0,4,190,240,5 Seater,audi,bahrain
Audi A4 2021 40 TFSI Design (190 HP),"BHD 16,300",2.0,4,190,240,5 Seater,audi,bahrain
Jaguar XE 2021 2.0T S (250 PS),"BHD 16,900",2.0,N/A,247,250,5 Seater,jaguar,bahrain
Jeep Grand Cherokee 2021 3.6L Limited,"BHD 17,000",3.6,6,290,190,5 Seater,jeep,bahrain
Mercedes-Benz C-Class 2021 C 200,"BHD 16,300",2.0,N/A,204,245,5 Seater,mercedes-benz,bahrain
BMW 3 Series 2021 320d,"BHD 16,900",2.0,4,190,235,5 Seater,bmw,bahrain
BMW X1 2021 sDrive20i,"BHD 17,500",2.0,N/A,192,225,5 Seater,bmw,bahrain
Subaru WRX 2021 2.5T STi Premium,Crystal Black Silica,2.5,4,300,250,5 Seater,subaru,bahrain
Ford Mustang 2021 2.3L EcoBoost Fastback M/T,"BHD 15,995",2.3,4,310,240,4 Seater,ford,bahrain
Honda Odyssey 2021 3.5L Touring,Platinum White Pearl,3.5,6,280,180,8 Seater,honda,bahrain
Dodge Charger 2021 5.7L Daytona 392,"BHD 16,500",5.7,8,375,250,5 Seater,dodge,bahrain
Lexus IS 2021 200t F Sport Prestige,"BHD 17,500",2.0,4,350,5 Seater,6.9,lexus,bahrain
Jaguar XF 2021 2.0 i4Turbo Luxury,"BHD 16,900",2.0,4,235,241,5 Seater,jaguar,bahrain
Dodge Charger 2021 5.7L R/T,"BHD 15,400",5.7,8,370,250,5 Seater,dodge,bahrain
Jaguar XE 2021 2.0T SE (200 PS),"BHD 17,200",2.0,N/A,200,238,5 Seater,jaguar,bahrain
Audi S3 Sedan 2021 2.0 TFSI quattro (290 HP),"BHD 17,000",2.0,4,290,250,5 Seater,audi,bahrain
Dodge Charger 2021 5.7L R/T Highline,"BHD 17,500",5.7,8,370,250,5 Seater,dodge,bahrain
Chevrolet Tahoe 2021 5.3L LS 4WD,Following,5.3,8,355,180,9 Seater,chevrolet,bahrain
BMW 2 Series Coupe 2021 218i,"BHD 17,500",1.5,3,136,215,4 Seater,bmw,bahrain
Jaguar XE 2021 2.0T R-Sport (200 PS),"BHD 17,900",2.0,4,197,238,5 Seater,jaguar,bahrain
Volkswagen Teramont 2021 3.6L Highline (AWD),Following,3.6,6,276,190,7 Seater,volkswagen,bahrain
Audi A4 2021 45 TFSI quattro Sport (252 HP),"BHD 18,500",2.0,4,252,250,5 Seater,audi,bahrain
Jaguar XE 2021 2.0T Prestige (250 PS),"BHD 17,900",2.0,4,247,250,5 Seater,jaguar,bahrain
Mercedes-Benz SLC 2021 200,"BHD 18,400",2.0,N/A,184,237,2 Seater,mercedes-benz,bahrain
Volkswagen Teramont 2021 3.6L R-Line (AWD),Following,3.6,6,276,190,7 Seater,volkswagen,bahrain
Jaguar XE 2021 2.0T R-Dynamic (250 PS),"BHD 18,500",2.0,4,250,250,5 Seater,jaguar,bahrain
BMW 1 Series 2021 125i,"BHD 18,000",2.0,4,218,243,5 Seater,bmw,bahrain
Land Rover Discovery Sport 2021 2.0L Si4 SE (4WD),"BHD 17,900",2.0,4,236,200,5 Seater,land-rover,bahrain
Dodge Challenger 2021 5.7L R/T Plus,Granite Pearl Coat,5.7,8,375,250,5 Seater,dodge,bahrain
Jaguar F-Pace 2021 2.0T Pure (250 PS),"BHD 18,000",2.0,4,246,217,5 Seater,jaguar,bahrain
Infiniti QX60 2021 3.5L Luxe,"BHD 18,000",3.5,6,295,195,7 Seater,infiniti,bahrain
Audi A4 2021 45 TFSI quattro Design (252 HP),"BHD 18,500",2.0,4,252,250,5 Seater,audi,bahrain
Nissan Patrol 2021 4.0L XE,Following,4.0,6,275,200,8 Seater,nissan,bahrain
GMC Acadia 2021 3.6L SLT2 (AWD),"BHD 18,700",3.6,6,310,210,7 Seater,gmc,bahrain
Lexus IS 2021 200t Exclusive,"BHD 18,900",2.0,4,241,230,5 Seater,lexus,bahrain
Jaguar XE 2021 2.0T Pure (300 PS),"BHD 18,800",2.0,4,297,250,5 Seater,jaguar,bahrain
Jaguar XE 2021 2.0T Portfolio (200 PS),"BHD 18,800",2.0,4,197,238,5 Seater,jaguar,bahrain
Chevrolet Suburban 2021 5.3L LT Z71,Satin Steel Metallic,5.3,8,355,175,9 Seater,chevrolet,bahrain
Mercedes-Benz V Class 2021 Standard,"BHD 18,900",2.0,4,350,6 Seater,9.4,mercedes-benz,bahrain
Jaguar XF 2021 2.0T Pure (250 PS),"BHD 18,900",2.0,4,250,244,5 Seater,jaguar,bahrain
Ford Mustang 2021 2.3L EcoBoost Fastback Premium,"BHD 18,900",2.3,4,310,240,4 Seater,ford,bahrain
Chevrolet Suburban 2021 5.3L LS 4WD,"BHD 20,000",5.3,8,355,175,9 Seater,chevrolet,bahrain
BMW 2 Series Coupe 2021 220i,"BHD 18,500",2.0,4,184,230,4 Seater,bmw,bahrain
BMW 4 Series Coupe 2021 420i,"BHD 18,900",2.0,4,184,236,4 Seater,bmw,bahrain
BMW Z4 Roadster 2021 sDrive18i,"BHD 18,900",2.0,4,156,220,2 Seater,bmw,bahrain
Audi A5 Coupe 2021 40 TFSI Sport (190 HP),"BHD 19,300",2.0,4,190,240,4 Seater,audi,bahrain
Mercedes-Benz C-Class Coupe 2021 C 200,"BHD 19,000",2.0,4,204,245,4 Seater,mercedes-benz,bahrain
Mercedes-Benz GLC-Class 2021 GLC 250 4MATIC,"BHD 19,400",2.0,N/A,211,222,5 Seater,mercedes-benz,bahrain
Jaguar XE 2021 2.0T Portfolio (250 PS),"BHD 19,500",2.0,4,247,250,5 Seater,jaguar,bahrain
Toyota Land Cruiser Prado 2021 4.0L VXR,"BHD 19,110",4.0,6,271,200,7 Seater,toyota,bahrain
Chrysler 300C 2021 5.7L V8 Luxury,"BHD 18,000",5.7,8,363,234,5 Seater,chrysler,bahrain
Audi A5 Coupe 2021 40 TFSI Design (190 HP),"BHD 19,300",2.0,4,190,240,4 Seater,audi,bahrain
Lincoln MKC 2021 2.0T Select,"BHD 19,000",2.0,4,253,5 Seater,7.3,lincoln,bahrain
Mercedes-Benz C-Class 2021 C 250,"BHD 19,000",2.0,4,211,250,5 Seater,mercedes-benz,bahrain
Audi A5 Sportback 2021 45 TFSI Sport quattro (252 HP),"BHD 19,200",2.0,4,252,250,5 Seater,audi,bahrain
BMW 4 Series Gran Coupe 2021 420i,"BHD 19,000",2.0,4,184,236,4 Seater,bmw,bahrain
Chevrolet Tahoe 2021 5.3L LT 4WD,Iridescent Pearl Tricoat,5.3,8,355,180,9 Seater,chevrolet,bahrain
Volvo S90 2021 T5 FWD Inscription,"BHD 22,995",2.0,4,254,230,5 Seater,volvo,bahrain
Mini Hatch 2021 John Cooper Works (3-Door),"BHD 17,400",2.0,4,231,246,4 Seater,mini,bahrain
Audi TT 2021 45 TFSI (230 HP),"BHD 19,400",2.0,4,230,250,2 Seater,audi,bahrain
Mercedes-Benz C-Class 2022 C 300 4MATIC,TBD,2.0,4,255,209,5 Seater,mercedes-benz,bahrain
Jaguar F-Pace 2021 2.0T Pure (300 PS),"BHD 19,800",2.0,4,296,233,5 Seater,jaguar,bahrain
Jaguar XE 2021 2.0T R-Sport (300 PS),"BHD 19,900",2.0,4,297,250,5 Seater,jaguar,bahrain
BMW 5 Series 2021 520i,"BHD 19,600",2.0,N/A,184,235,5 Seater,bmw,bahrain
Land Rover Discovery Sport 2021 2.0T HSE (AWD),"BHD 19,900",2.0,4,240,200,5 Seater,land-rover,bahrain
BMW 5 Series 2021 540i (M Package),Jet Black,3.0,6,340,250,5 Seater,bmw,bahrain
Mercedes-Benz C-Class 2022 C 300,TBD,2.0,4,255,209,5 Seater,mercedes-benz,bahrain
Lexus NX 2021 300 Platinum,"BHD 18,060",2.0,4,235,200,5 Seater,lexus,bahrain
Jaguar XE 2021 2.0T SE (300 PS),"BHD 19,700",2.0,N/A,297,250,5 Seater,jaguar,bahrain
Ford Mustang 2021 2.3L EcoBoost Convertible,"BHD 19,500",2.3,4,310,240,4 Seater,ford,bahrain
Jaguar F-Pace 2021 2.0T SE (250 PS),"BHD 19,800",2.0,4,246,217,5 Seater,jaguar,bahrain
Jaguar F-Pace 2021 2.0T R-Sport (250 PS),"BHD 19,800",2.0,4,246,217,5 Seater,jaguar,bahrain
Mercedes-Benz E-Class Saloon 2021 E 200,"BHD 20,000",2.0,N/A,184,240,5 Seater,mercedes-benz,bahrain
Dodge Durango 2021 5.7L R/T (AWD),Destroyer Gray Clear Coat,5.7,8,360,215,7 Seater,dodge,bahrain
BMW 2 Series Active Tourer 2021 225i,"BHD 20,000",2.0,4,231,238,5 Seater,bmw,bahrain
Audi TT Roadster 2021 45 TFSI (230 HP),"BHD 20,500",2.0,4,230,250,2 Seater,audi,bahrain
Mercedes-Benz C-Class Coupe 2021 C 250,"BHD 20,100",2.0,4,211,240,4 Seater,mercedes-benz,bahrain
Audi TT 2021 45 TFSI quattro (230 HP),"BHD 20,300",2.0,4,230,250,2 Seater,audi,bahrain
Ford Edge 2021 ST,"BHD 20,000",2.7,N/A,335,5 Seater,6.0,ford,bahrain
BMW X3 2021 sDrive 20i,"BHD 20,500",2.0,N/A,184,210,5 Seater,bmw,bahrain
Ford Mustang 2021 5.0L Fastback GT Premium,Oxford White,5.0,8,460,240,4 Seater,ford,bahrain
Chevrolet Suburban 2021 5.3L LT 4WD,Satin Steel Metallic,5.3,8,355,175,9 Seater,chevrolet,bahrain
Infiniti QX60 2021 3.5L Luxe Sensory,"BHD 20,000",3.5,6,295,195,7 Seater,infiniti,bahrain
Mercedes-Benz SLC 2021 300,"BHD 20,400",2.0,4,245,250,2 Seater,mercedes-benz,bahrain
Audi A5 Cabriolet 2021 35 TFSI (170 HP),"BHD 20,500",1.8,4,170,213,4 Seater,audi,bahrain
BMW 3 Series 2021 330i,Glacier Silver Metallic,2.0,4,258,250,5 Seater,bmw,bahrain
Jaguar XF 2021 2.0T Prestige (250 PS),"BHD 20,300",2.0,4,250,244,5 Seater,jaguar,bahrain
Jaguar XF 2021 2.0 T R Sport,"BHD 20,900",2.0,4,235,241,5 Seater,jaguar,bahrain
Lincoln Continental 2021 3.7L Premier,"BHD 21,000",3.7,6,379,5 Seater,6.8,lincoln,bahrain
Jaguar XF 2021 2.0 T Portfolio,"BHD 20,900",2.0,4,235,241,5 Seater,jaguar,bahrain
Audi A5 Sportback 2021 3.0L (272 HP),"BHD 21,000",3.0,6,272,250,5 Seater,audi,bahrain
Jaguar XF 2021 2.0 T Prestige,"BHD 20,900",2.0,4,235,241,5 Seater,jaguar,bahrain
Audi A3 Sportback 2021 RS3 (367 HP) quattro,"BHD 21,100",2.5,5,367,250,5 Seater,audi,bahrain
BMW Z4 Roadster 2021 sDrive20i,"BHD 21,000",2.0,N/A,197,240,2 Seater,bmw,bahrain
Mercedes-Benz C Class Cabriolet 2021 C 200 Cabriolet,"BHD 20,700",2.0,N/A,204,235,4 Seater,mercedes-benz,bahrain
Porsche 718 2021 Cayman,"BHD 23,219",2.0,4,300,275,2 Seater,porsche,bahrain
Lexus IS 2021 350 F-Sport Prestige,"BHD 20,475",3.5,6,311,235,5 Seater,lexus,bahrain
Jaguar XF 2021 2.0 i4Turbo Premium Luxury,"BHD 20,900",2.0,4,235,241,5 Seater,jaguar,bahrain
Jaguar XE 2021 2.0T HSE (300 PS),"BHD 20,900",2.0,N/A,297,250,5 Seater,jaguar,bahrain
BMW 4 Series Gran Coupe 2021 428i,"BHD 21,000",2.0,4,245,250,4 Seater,bmw,bahrain
Jaguar F-Pace 2021 2.0T R-Sport (300 PS),"BHD 21,000",2.0,4,296,233,5 Seater,jaguar,bahrain
BMW 4 Series Coupe 2021 428i,"BHD 21,900",2.0,4,245,250,4 Seater,bmw,bahrain
Jaguar XF 2021 2.0T R-Dynamic HSE (250 PS),"BHD 21,400",2.0,4,250,244,5 Seater,jaguar,bahrain
Mercedes-Benz C-Class Coupe 2021 C 300,"BHD 21,400",2.0,N/A,258,250,4 Seater,mercedes-benz,bahrain
Mercedes-Benz C-Class 2021 C 350 e,"BHD 21,500",2.0,4,275,209,5 Seater,mercedes-benz,bahrain
Audi A5 Sportback 2021 45 TFSI Design quattro (252 HP),"BHD 21,900",2.0,4,252,250,5 Seater,audi,bahrain
Jaguar XF 2021 2.0T Portfolio (250 PS),"BHD 21,700",2.0,4,247,244,5 Seater,jaguar,bahrain
Lexus GX 2021 460 Premier,"BHD 21,945",4.6,8,292,177,7 Seater,lexus,bahrain
Nissan Patrol 2021 4.0L SE Titanium,Following,4.0,N/A,395,8 Seater,11.5,nissan,bahrain
Jaguar F-Pace 2021 2.0T Prestige (300 PS),"BHD 21,200",2.0,4,296,233,5 Seater,jaguar,bahrain
Audi TT Roadster 2021 45 TFSI quattro (230 HP),"BHD 21,400",2.0,4,230,250,2 Seater,audi,bahrain
Audi A5 Coupe 2021 45 TFSI quattro Design (252 HP),"BHD 21,900",2.0,4,252,250,4 Seater,audi,bahrain
Audi A5 Coupe 2021 45 TFSI quattro Sport (252 HP),"BHD 21,900",2.0,4,252,250,4 Seater,audi,bahrain
Ford Expedition 2021 3.5L EcoBoost LTD,"BHD 21,500",3.5,N/A,385,185,8 Seater,ford,bahrain
Jaguar XF 2021 2.0T Prestige (300 PS),"BHD 21,700",2.0,4,297,250,5 Seater,jaguar,bahrain
BMW 2 Series Convertible 2021 220i,"BHD 21,500",2.0,4,184,226,4 Seater,bmw,bahrain
Ford Mustang 2021 5.0L V8 Convertible GT Premium,Oxford White,5.0,8,460,240,4 Seater,ford,bahrain
BMW 2 Series Coupe 2021 230i,"BHD 22,000",2.0,4,252,250,4 Seater,bmw,bahrain
Audi A5 Cabriolet 2021 45 TFSI Design quattro (252 HP),"BHD 22,400",2.0,4,252,250,4 Seater,audi,bahrain
Alfa Romeo Stelvio 2021 Super,"BHD 22,000",2.0,4,280,230,5 Seater,alfa-romeo,bahrain
Porsche 718 2021 Boxster,"BHD 24,670",2.0,4,300,275,2 Seater,porsche,bahrain
Mercedes-Benz C-Class Coupe 2021 C 350,"BHD 22,200",3.5,6,301,250,4 Seater,mercedes-benz,bahrain
Mercedes-Benz A 45 AMG 2021 2.0T 4MATIC,"BHD 22,100",2.0,4,381,250,5 Seater,mercedes-benz,bahrain
Infiniti Q50 2021 3.5L Hybrid Blue Sport,"BHD 21,000",3.5,6,350,250,5 Seater,infiniti,bahrain
Mercedes-Benz GLC Coupe 2021 250 4MATIC,"BHD 21,900",2.0,4,211,222,5 Seater,mercedes-benz,bahrain
Nissan Patrol 2021 4.0L SE T2,Following,4.0,6,275,200,8 Seater,nissan,bahrain
Mercedes-Benz C-Class 2021 C 400 4MATIC,"BHD 22,400",3.0,6,333,250,5 Seater,mercedes-benz,bahrain
Land Rover Range Rover Velar 2021 2.0L S (250 PS),"BHD 22,300",2.0,4,250,217,5 Seater,land-rover,bahrain
Jaguar XF 2021 3.0 V6 SC Luxury,"BHD 21,900",3.0,6,335,250,5 Seater,jaguar,bahrain
BMW X1 2021 xDrive25i,"BHD 22,000",2.0,N/A,231,235,5 Seater,bmw,bahrain
Jaguar F-Type Coupe 2021 2.0T (300 PS),"BHD 22,500",2.0,4,300,250,2 Seater,jaguar,bahrain
Jaguar XF 2021 2.0T R-Sport (300 PS),"BHD 22,800",2.0,4,297,250,5 Seater,jaguar,bahrain
Mercedes-Benz E-Class Coupe 2021 E 250,"BHD 22,900",1.8,4,211,250,4 Seater,mercedes-benz,bahrain
BMW X3 2021 xDrive 20i,"BHD 22,500",2.0,N/A,184,210,5 Seater,bmw,bahrain
BMW 1 Series 2021 m135i,"BHD 22,500",3.0,6,326,250,5 Seater,bmw,bahrain
Lexus NX 2021 Platinum F Sport,"BHD 22,500",2.0,N/A,235,200,5 Seater,lexus,bahrain
Jaguar F-Pace 2021 35t Pure,"BHD 22,900",3.0,N/A,340,250,5 Seater,jaguar,bahrain
Mercedes-Benz E-Class Coupe 2021 E 200,"BHD 22,600",2.0,4,184,240,4 Seater,mercedes-benz,bahrain
Ford F-150 2021 5.0L Crew Cab King Ranch FX4 (Luxury Pack),Following,5.0,8,360,160,5 Seater,ford,bahrain
BMW Z4 Roadster 2021 sDrive30i,"BHD 23,000",2.0,4,258,250,2 Seater,bmw,bahrain
Mercedes-Benz V Class 2021 Avantgarde,"BHD 22,600",2.0,4,350,6 Seater,9.4,mercedes-benz,bahrain
BMW 4 Series Convertible 2021 428i,"BHD 23,000",2.0,4,245,250,4 Seater,bmw,bahrain
Land Rover Discovery Sport 2021 2.0L Si4 HSE Luxury (4WD),"BHD 22,900",2.0,4,235,200,5 Seater,land-rover,bahrain
Jeep Grand Cherokee 2021 Summit 5.7L,"BHD 23,000",5.7,8,350,181,5 Seater,jeep,bahrain
Chevrolet Tahoe 2021 5.3L Premium 4WD,Following,5.3,8,355,180,9 Seater,chevrolet,bahrain
Audi A3 Sedan 2021 RS3 (400 HP),"BHD 11,900",2.5,5,394,280,5 Seater,audi,bahrain
Mercedes-Benz GLC-Class 2021 GLC 300 4MATIC,"BHD 23,300",2.0,N/A,245,235,5 Seater,mercedes-benz,bahrain
Ford F-150 2021 3.5L EcoBoost Crew Cab Platinum FX4 (Luxury Pack),Following,3.5,6,365,160,5 Seater,ford,bahrain
Lexus RX 2021 350 Prestige,"BHD 23,100",3.5,6,296,200,5 Seater,lexus,bahrain
Land Rover Discovery 2021 3.0L SC V6 S,"BHD 23,100",3.0,6,335,215,7 Seater,land-rover,bahrain
Cadillac XT5 2021 3.6L AWD Sport,Garnet Metallic,3.6,6,310,210,5 Seater,cadillac,bahrain
